STEPHANIE MITCHELL
CAROLYN PEREZ
CHRISTINE ROBERTS
MARIE TURNER
JANET PHILLIPS
CATHERINE CAMPBELL
FRANCES PARKER
ANN EVANS
JOYCE EDWARDS
DIANE COLLINS
ALICE STEWART
JULIE SANCHEZ
HEATHER MORRIS
TERESA ROGERS
DORIS REED
GLORIA COOK
EVELYN MORGAN
JEAN BELL
CHERYL MURPHY
MILDRED BAILEY
KATHERINE RIVERA
JOAN COOPER
ASHLEY RICHARDSON
JUDITH COX
ROSE HOWARD
JANICE WARD
KELLY TORRES
NICOLE PETERSON
JUDY GRAY
CHRISTINA RAMIREZ
KATHY JAMES
THERESA WATSON
BEVERLY BROOKS
DENISE KELLY
TAMMY SANDERS
IRENE PRICE
JANE BENNETT
LORI WOOD
RACHEL BARNES
MARILYN ROSS
ANDREA HENDERSON
KATHRYN COLEMAN
LOUISE B JENKINS
SARA A PERRY
