ANNE J POWELL
JACQUELINE K LONG
WANDA M PATTERSON
BONNIE HUGHES
JULIA FLORES
RUBY WASHINGTON
LOIS BUTLER
TINA SIMMONS
PHYLLIS FOSTER
NORMA GONZALES
PAULA BRYANT
DIANA ALEXANDER
ANNIE RUSSELL
LILLIAN GRIFFIN
EMILY DIAZ
ROBIN HAYES
MARY SMITH
PATRICIA JOHNSON
LINDA WILLIAMS
BARBARA JONES
ELIZABETH BROWN
MARY SMITH
PATRICIA JOHNSON
LINDA WILLIAMS
BARBARA JONES
ELIZABETH BROWN
JENNIFER DAVIS
MARIA MILLER
SUSAN WILSON
MARGARET MOORE
DOROTHY TAYLOR
LISA ANDERSON
NANCY THOMAS
KAREN JACKSON
BETTY WHITE
HELEN HARRIS
SANDRA MARTIN
DONNA THOMPSON
CAROL GARCIA
RUTH MARTINEZ
SHARON ROBINSON
MICHELLE CLARK
LAURA RODRIGUEZ
SARAH LEWIS
KIMBERLY LEE
DEBORAH WALKER
